x,y,waga
556956.7419405663,153047.31854137313,4.0
561412.0402122923,156481.82736322004,3.6725
565363.499281493,155985.52761427965,3.3575
569315.7268482724,155492.06205490883,5.0
573268.5372815008,155015.3227591412,5.0
577222.1678920446,154541.41914264578,3.0
561913.194425632,160412.4814565489,2.775
565861.9349019283,159913.00525975414,3.0
569811.4478413567,159416.47393711563,0.755
573761.5011242171,158940.11369242705,1.0
581663.9245350917,157995.78599951696,4.0
782290.2039811036,133344.48354631197,1.0
499293.13370918157,172295.65189935733,2.1
503235.96049557434,171817.21670849528,3.0
562413.6194609727,164343.10064729117,0.83
570306.3642970272,163340.9607265992,0.775
578201.7757751443,162391.72152331192,4.0
582150.5658277657,161921.4078835398,2.0
770946.4606958979,138680.55208809488,1.0
782767.713766411,137267.24431321118,1.0
499791.6911713347,176164.6268340107,3.0
503736.3397769842,175683.21664899308,1.0
511634.4438812761,174739.1804766124,1.98
566856.4667367564,167768.18684797455,1.0
574745.0842465578,166789.80941860005,1.0
578690.4396695476,166317.0409600949,4.0
586583.2476237281,165380.00293244515,1.0
779305.4946634031,141658.08220297657,2.0
504236.07891318656,179549.17498722766,1.0
508183.1723609312,179067.42245589476,0.9075
512139.95891181676,178616.32973167207,4.43
555533.2021411898,173230.51832466573,2.0
571293.855128644,171190.04857211094,0.7225
583121.4932671217,169772.76407336257,1.2325000000000002
587065.5100082452,169306.03892948758,1.775
591001.6651756314,168814.21289263573,2.0
594938.602635267,168325.31911291275,0.92
642281.9647349492,162567.34752600826,0.1825
732622.3485319652,151406.57440444268,1.0
736547.440508867,150905.8372922251,1.095
492892.7112259461,184942.5396700129,2.0
496839.4538555554,184456.01893403288,4.0
500786.82411598647,183972.35805814154,2.7675
504734.9660761322,183491.55721474625,1.27
508683.8067647142,183013.61665333714,1.9300000000000002
512635.48422823724,182552.54546749964,1.905
516587.9119806483,182094.22717878688,2.0
544181.0712849878,178660.02274245024,2.685
556018.6332171691,177153.52671131026,1.0
559959.2820514126,176646.4961720314,1.0
587546.9565717748,173232.37099728733,2.0
737041.3083530602,154900.35869523417,0.8925
744894.4533452993,153985.70167122874,1.0725
748821.2494917831,153455.17114841286,1.0
756677.8092382955,152402.43541282322,1.0
760607.4989744294,151880.22784985602,1.9475
768470.5342498173,150921.35277647804,0.26
772403.4179843672,150446.02762985975,1.0
489429.08933669596,189359.08826571237,4.975
497334.2689566828,188390.8642101679,2.0
505233.19755504216,187434.12099958397,1.8725
509183.70436860214,186959.99307418521,1.0
517077.75864878035,186020.53071530443,4.0
521025.7883438662,185554.97863797285,5.0
544667.4063790807,182571.6052035112,1.0
548611.9594693199,182070.38613354415,0.2725
552557.2050077587,181572.12699401192,0.925
556503.289204435,181076.6071201237,2.0
584088.8858396424,177638.64087582193,1.0
607715.8532063382,174732.24930583686,1.0
611659.413221227,174255.3695347635,1.0
615603.8271018264,173781.437157589,1.0
635339.7635299608,171370.96347377356,1.0
647123.7722161405,169923.55275488365,3.0
651053.3789336025,169446.69283882994,0.155
721814.3882354958,160712.9367374694,1.0
729684.0767731363,159742.4784612013,1.0
749313.3082896557,157490.0617361702,1.675
761096.7557254474,155800.67113796063,1.0
489919.7126668849,193286.41694830358,1.885
493878.2106798682,192804.70901487302,1.8225
497828.37280128134,192325.77835925762,3.955
501779.15481426293,191849.83070537727,1.9625
505730.7004437596,191376.75511051062,1.0
513624.4803572556,190425.18838868756,1.0
517566.80359272426,189946.79253281932,2.0
521509.7611110288,189471.36405580118,0.7875
541209.6813289969,186983.27680496406,3.0
545152.9105482608,186483.1470923731,1.97
553041.5834284633,185491.33188927826,2.0
556987.0983342688,184999.6475960184,2.5949999999999998
564875.9297796905,184018.11490134336,2.9775
568821.4563633498,183531.51188301388,2.0
572767.816927534,183047.87125303224,2.0
580636.021150488,182060.84411675762,1.0
584571.290593659,181571.63356914,2.8449999999999998
588507.3397519063,181085.14392597973,2.9
596377.5237959737,180106.801786582,1.0
620015.826521822,177239.897101013,1.0
627904.2580934755,176258.40265329275,1.0
635795.8853294101,175288.13947103173,1.3425
647578.5235294551,173842.0341645535,1.825
718380.7809290568,165106.9891198026,1.0
726243.0452046773,164138.81091623474,0.7175
738025.9438311598,162889.99720849283,1.0
769446.3367378959,158764.7592242863,1.0
486450.24855022255,197694.62044455856,2.0
494369.86981139635,196735.89591907244,1.865
498321.6926646855,196260.87251780275,4.245
502274.20364151144,195788.61580852699,5.0
506227.4022147505,195319.2371425517,3.35
514117.8775856417,194361.61533804797,2.6725
518055.1182773637,193873.1239541378,1.0
