x,y,waga
556956.7419405663,153047.31854137313,14.0
561412.0402122923,156481.82736322004,6.0
569315.7268482724,155492.06205490883,11.19
561913.194425632,160412.4814565489,20.425
565861.9349019283,159913.00525975414,4.0
569811.4478413567,159416.47393711563,3.02
499293.13370918157,172295.65189935733,4.0
503235.96049557434,171817.21670849528,4.0
570306.3642970272,163340.9607265992,2.83
578201.7757751443,162391.72152331192,18.0
499791.6911713347,176164.6268340107,17.0
566856.4667367564,167768.18684797455,4.0
504236.07891318656,179549.17498722766,4.0
512139.95891181676,178616.32973167207,26.495
594938.602635267,168325.31911291275,4.6000000000000005
496839.4538555554,184456.01893403288,4.0
500786.82411598647,183972.35805814154,11.0
504734.9660761322,183491.55721474625,5.0
508683.8067647142,183013.61665333714,5.58
516587.9119806483,182094.22717878688,5.0
544181.0712849878,178660.02274245024,12.0
587546.9565717748,173232.37099728733,5.0
756677.8092382955,152402.43541282322,5.0
760607.4989744294,151880.22784985602,11.79
489429.08933669596,189359.08826571237,27.18
497334.2689566828,188390.8642101679,10.0
517077.75864878035,186020.53071530443,15.0
521025.7883438662,185554.97863797285,17.0
584088.8858396424,177638.64087582193,4.0
607715.8532063382,174732.24930583686,9.0
635339.7635299608,171370.96347377356,6.0
647123.7722161405,169923.55275488365,4.0
729684.0767731363,159742.4784612013,4.0
489919.7126668849,193286.41694830358,2.94
493878.2106798682,192804.70901487302,1.6
505730.7004437596,191376.75511051062,7.0
513624.4803572556,190425.18838868756,4.0
517566.80359272426,189946.79253281932,4.0
521509.7611110288,189471.36405580118,4.725
541209.6813289969,186983.27680496406,5.0
545152.9105482608,186483.1470923731,4.2299999999999995
553041.5834284633,185491.33188927826,14.0
556987.0983342688,184999.6475960184,2.38
635795.8853294101,175288.13947103173,7.0
726243.0452046773,164138.81091623474,2.87
486450.24855022255,197694.62044455856,5.0
494369.86981139635,196735.89591907244,5.64
498321.6926646855,196260.87251780275,9.0
502274.20364151144,195788.61580852699,15.0
506227.4022147505,195319.2371425517,12.0
521993.0805253807,193387.59637672827,9.0
525931.8362198679,192904.92204170674,4.0
537753.0785199306,191390.21847297344,5.0
541694.987396059,190891.0620905487,23.0
545637.6547356003,190394.76008311287,8.0
561415.8974489263,188437.99007600546,5.46
565362.3464687904,187956.07517559547,4.0
581120.3497400241,186000.5371994879,5.0
588986.3458171574,185011.69694165606,14.0
644104.5186715506,178239.37697460502,4.0
730665.8461352474,167575.32033815328,1.95
482984.1803104193,202122.42501479946,22.0
486942.3502231169,201639.0715559749,4.0
490901.21243221354,201158.61118090153,11.64
494860.83841016795,200681.04402054008,0.34
518538.2037770357,197806.51173676737,4.1
526418.4070211528,196825.056585012,4.0
534301.8583128006,195827.14223168232,5.302499999999999
542188.23981743,194840.77801071014,21.395
573746.3879680043,190953.49761781003,4.0
585546.9925871858,189458.83832518198,4.0
589482.155277345,188966.294159282,16.0
593418.10676729,188476.58799336012,4.0
648518.9636507538,181694.027995714,4.0
668208.8847898134,179276.34547408856,4.0
683983.1772765366,177337.7120069461,1.34
491392.08115514606,205103.36616011802,22.419999999999998
495351.02808543626,204626.14926659223,4.0
499297.1870963209,204151.83028809447,5.0
503244.0347703635,203680.3880181443,0.8999999999999999
554494.1528781276,197312.21888672467,5.0
601792.4873491477,191461.67054845486,5.0
770911.286543947,170530.9650400523,5.0
535279.441227226,203697.29414458014,5.0
551041.6614788589,201752.7851631716,3.6875
558913.8707754858,200776.55431038234,6.83
476556.47403776785,214942.45464391634,2.06
492371.5669352459,212993.41352993064,6.0
504211.0248984082,211572.43186291307,2.8499999999999996
527873.6784287576,208586.10197900608,1.42
571253.2940724052,203286.7784585245,4.0
764010.0582138109,179325.78141166084,3.375
508646.0050654965,215030.39054550603,8.0
512590.2887435318,214558.7709297249,5.0
524414.3637103575,213036.32779166568,4.7125
528357.212300796,212534.52532424591,2.51
552020.4808833402,209653.9561940804,1.7374999999999998
489894.0928617775,225348.85364952404,4.0
754687.8205010974,200475.06698571518,0.96
337304.4005439235,256319.69599231984,0.925
341265.81896324235,255838.65686908364,9.0
341758.88237004646,259800.84896892868,7.0
326397.1680495426,265703.72410707455,7.300000000000001
342251.44481045404,263762.98231558874,9.0
346216.8576081244,263299.1457754979,6.0
405463.93983979116,255924.9228831185,3.14
322923.9595993692,270157.44776296895,5.0
326883.16454007576,269665.1556927422,15.45
334812.1948437237,268689.20680406503,2.1625
342743.50911451154,267725.1680773506,3.5625
346708.0777843903,267258.1272437321,14.835
350673.19596650614,266793.9496561829,15.99
354638.9374557872,266332.74453476723,5.0
319456.8485858446,274613.7093786616,13.7
323412.52276504086,274118.7424374325,4.0
312044.19684951764,279572.8961154651,6.0
315995.7622252952,279072.2865715334,6.0
319947.9026462711,278574.64633612987,10.71
323900.6173182167,278079.9754196303,15.43
351652.5761413593,274705.55339410156,7.34
304665.0528451924,284597.83899729326,17.15
308602.5748032258,284064.14168621507,3.8249999999999997
312540.7141817329,283533.399151369,6.0
316489.3176720793,283033.0872147642,16.295
324388.1754371687,282041.2602428729,4.0
344216.7018522355,279611.8178536659,4.0
348178.77966948826,279135.0530386567,9.0
344705.95496625686,283546.53875900526,8.32
348667.29050180956,283070.01634386275,15.055
309604.78516107623,291991.431788357,15.63
313551.0838660315,291481.70979096554,11.03
317497.966861934,290974.85027745645,25.025
310105.26875103405,295955.25985027105,10.0
341722.0564883861,291915.9045683993,5.0
318504.6225735672,298916.93193648104,10.0
334299.41280351765,296879.48722513113,5.0
338255.85087485786,296366.931896992,0.99
697164.1232979881,251530.48813291173,5.0
358541.78736160276,297874.76479453314,4.0
795928.3173613333,243190.12602372002,0.94
323434.73021524126,306315.1736283619,4.0
698159.3677904692,259412.7898037564,5.0
725670.7946883278,255972.03412970994,1.06
300179.8776508132,313201.86991397943,7.0
319969.10747342824,310769.121134609,7.2
765456.94738115,254965.6758400295,4.0
308575.5822772571,316170.8482819041,11.94
316496.2004817596,315219.08917262126,9.0
324417.1938553913,314223.8208740959,27.0425
541628.0040698695,286958.0799304228,5.0
269500.29965129396,325111.2334469296,4.0
273854.0337652189,324572.36315242667,4.0
277414.1782958021,324134.124961813,19.965
281371.8688800131,323650.0505498862,9.48
289287.14647227444,322645.95370891225,3.52
301161.51145370875,321094.5184814185,16.0
258110.663472971,330597.0888384599,5.0
262070.68085164024,330080.4301603623,14.6525
269992.4575906495,329056.2144767903,2.3499999999999996
301665.4925967989,325054.411202359,4.0
313525.93430515134,323614.9103763094,4.0
495310.2828003777,300830.084296708,5.827500000000001
250688.94771495878,335555.8518496603,17.0
258604.85985332757,334541.67046402395,6.0
282365.09524701093,331561.32138573285,20.0
286326.3760669217,331087.4941049479,9.0
239309.41432045438,341002.02953186724,4.0
243266.4829502997,340498.31245767046,26.0
247224.07234659512,339997.63636644185,5.0
251182.18694249965,339500.112310037,4.0
255140.81510114635,339005.5179709513,5.0
259098.67186241972,338486.182544264,6.0
282861.0141424206,335517.1389942523,8.0
294746.73676843406,334004.52904680837,18.419999999999998
314514.32021653757,331536.5608909065,6.0
247725.07191243573,343955.3311779704,13.47
287319.75242842356,338978.50439424254,10.0
338773.82451477216,332452.4731036816,6.0
283850.2166634748,343394.2332664877,4.0
287815.23555930785,342910.2977651367,14.1225
291770.8897221624,342401.9824457411,4.0
339270.74126989616,336414.38155927975,2.77
236839.1772600485,353357.2036580527,4.0
288310.2875547325,346842.0260638399,4.0
272939.583039752,352782.7929050587,11.0
754204.5299428988,292283.9881971432,4.0
241797.28592910207,360790.244995255,4.0
297203.8814269537,353749.02825763356,4.0
270004.1124466257,361208.283232376,6.0
416357.38235504436,342801.10490179993,6.0
487451.62978904153,365904.28868503403,0.66
341782.68259342853,388406.50295069534,4.1
460340.8817585724,373393.547413595,2.31
227426.96110652818,406870.22299929895,4.0
268094.0964087756,409737.2744257385,5.0
595918.5080827685,368257.1065650275,4.0
215666.88947231096,440579.65287133586,4.0
437165.49202825536,412445.044482979,4.0
287500.9325387038,467594.5472812811,4.0
243050.14877224644,497493.0628605224,4.22
285187.9726452038,512154.74205256626,1.6875
230743.8417423438,527269.5970931752,0.8250000000000001
278776.72401103686,525053.4945055228,8.0
370812.984545294,521289.153087209,4.0
686275.4705941551,480730.3304614248,3.31
430591.96511761326,517622.15567802824,0.86
285297.67798900336,544336.2572032576,2.61
289248.4322247178,543829.0922255972,7.025
281846.81819091196,548805.9538806397,6.0
313488.69084629894,544786.3103453415,3.7125000000000004
440019.1438482277,528452.0341930101,2.59
246687.61856613355,557369.5413960209,5.0
341680.7232856926,545148.6504988624,7.0
594827.0558892204,516491.0731124282,1.675
606657.8873199727,514982.4436409399,3.39
256146.73312012802,568221.2951784069,2.89
374868.4200128798,552934.719693359,9.0
371419.46823997394,557399.3440919258,4.0
777324.0588693856,504969.6816217806,1.55
197760.01247394492,583871.5375905093,6.0
265103.0361133608,575129.74453115,12.75
194304.6840632551,588343.7901463741,4.574999999999999
233920.99639230268,583192.2057999866,1.05
317071.8343311886,572427.1021404276,10.0
